"company","total_exits","total_exit_value","avg_exit_value"
"Ecom Express Pvt Ltd",1,154087635528,154087635528
"Magma HDI General Insurance Company Ltd",1,154087632994,154087632994
"Portea Medical Health Vista Pvt Ltd",1,154087631426,154087631426
"Concord Enviro Systems Limited",1,154087631419,154087631419
"Honasa Consumer Pvt Ltd",1,154087617013,154087617013
"NeoDove Technologies Pvt Ltd",1,154087612616,154087612616
"Indiafirst Life Insurance Co Ltd",1,154087606574,154087606574
"Keystone Realtors Pvt Ltd",1,154087596925,154087596925
"Numocity Technologies Pvt Ltd",1,154087590487,154087590487
"HW Wellness Solutions Pvt Ltd",1,154087585772,154087585772
"Oaknet Healthcare Pvt Ltd",1,154087566727,154087566727
"Awfis Space Solutions Pvt Ltd",1,154087564552,154087564552
"Sociofy Enterprise Pvt Ltd",1,154087557262,154087557262
"Justwork Technologies Pvt Ltd",1,154087534417,154087534417
"KFIN Technologies Pvt Ltd",1,154087527841,154087527841
"INI Farms Pvt Ltd",1,154087526709,154087526709
"Prepbytes Technologies Pvt Ltd",1,154087522393,154087522393
"Signatureglobal (India) Pvt Ltd",1,154087521338,154087521338
"Pristine Logistics & Infraprojects Pvt Ltd",1,154087517549,154087517549
"Explorium Innovative Technologies Pvt Ltd",1,154087514126,154087514126
"Purple Panda Fashions Pvt Ltd",1,154087512810,154087512810
"ASG Hospital Pvt Ltd",1,154087512450,154087512450
"Corrtech International Pvt Ltd",1,154087509706,154087509706
"Paymate India Pvt Ltd",1,154087496488,154087496488
"Archean Chemical Industries Pvt Ltd",1,154087482953,154087482953
"Brainbees Solutions Pvt Ltd",1,154087480949,154087480949
"Kids Clinic India Pvt Ltd",1,154087469150,154087469150
"Navi Technologies Pvt Ltd",1,154087469027,154087469027
"Knowlarity Communications Pvt Ltd",1,154087463615,154087463615
"Maverix Platforms Pvt Ltd",1,154087461227,154087461227
"Ethos Ltd",1,154087453493,154087453493
"Imagine Marketing Ltd",1,154087448792,154087448792
"Ola Financial Services Pvt Ltd",1,154087430173,154087430173
"Rainbow Children's Medicare Ltd",1,154087425832,154087425832
"Allygrow Technologies Pvt Ltd",1,154087423801,154087423801
"Just4kids Services Pvt Ltd",1,154087423435,154087423435
"Sirona Hygiene Pvt Ltd",1,154087420266,154087420266
"Hexagon Nutrition Ltd",1,154087414865,154087414865
"Dinero Innovations Pvt Ltd",1,154087413408,154087413408
"Doorstep Retail Solutions Pvt Ltd",1,154087410160,154087410160
"Karrox Technologies Ltd",1,154087403544,154087403544
"Transaction Solutions International (India) Pvt Ltd",1,154087402588,154087402588
"Dr. Agarwals Eye Hospital Ltd",1,154087384796,154087384796
"Blinkit India Pvt Ltd",1,154087379157,154087379157
"Incassable Technologies Pvt Ltd",1,154087358003,154087358003
"Capital Small Finance Bank Ltd",1,154087355973,154087355973
"Scoopwhoop Media Pvt Ltd",1,154087345747,154087345747
"Fedbank Financial Services Ltd",1,154087341910,154087341910
"GPT Healthcare Ltd",1,154087341554,154087341554
"Ideal Cures Pvt Ltd",1,154087337216,154087337216
"Bridgei2i Analytics Solutions Pvt Ltd",1,154087334128,154087334128
"Brain4ce Education Solutions Pvt Ltd",1,154087333447,154087333447
"Amishi Consumer Technologies Pvt Ltd",1,154087332651,154087332651
"RDC Concrete (India) Pvt Ltd",1,154087327241,154087327241
"Godavari Biorefineries Ltd",1,154087318470,154087318470
"Imax Projects India Ltd",1,154087317529,154087317529
"Informds Technologies Pvt Ltd",1,154087316818,154087316818
"Amagi Media Labs Pvt Ltd",1,154087309248,154087309248
"Akna Medical Pvt Ltd",1,154087304837,154087304837
"India1 Payments Ltd",1,154087293812,154087293812
"Rolocule Games Pvt Ltd",1,154087292131,154087292131
"Strand Life Sciences Private Ltd",1,154087291706,154087291706
"Rategain Travel Technologies Ltd",1,154087277742,154087277742
"Tega Industries Ltd",1,154087274349,154087274349
"Infomoko Technology Pvt Ltd",1,154087273816,154087273816
"Prudent Corporate Advisory Services Ltd",1,154087270340,154087270340
"Tracxn Technologies Pvt Ltd",1,154087270260,154087270260
"Cleanmax Enviro Energy Solutions Pvt Ltd",1,154087269745,154087269745
"Sapphire Foods India Ltd",1,154087268367,154087268367
"Robosoft Technologies Pvt Ltd",1,154087266710,154087266710
"Whodat Tech Pvt Ltd",1,154087262841,154087262841
"SJS Enterprises Ltd",1,154087253281,154087253281
"FJS Tech Pvt Ltd",1,154087252269,154087252269
"SZS Tech Pvt Ltd",1,154087245202,154087245202
"WeColab Edusystem Pvt Ltd",1,154087242339,154087242339
"Playsimple Games Pvt Ltd",1,154087235512,154087235512
"Procureli India Pvt Ltd",1,154087234339,154087234339
"Boatman Tech Pvt Ltd",1,154087234294,154087234294
"Playment",1,154087231824,154087231824
"Northerly Automotive Solutions Pvt Ltd",1,154087231373,154087231373
"Go Fashion (India) Ltd",1,154087228823,154087228823
"Encube Ethicals Pvt Ltd",1,154087224439,154087224439
"Veeda Clinical Research Ltd",1,154087220667,154087220667
"O(1) India Pvt Ltd",1,154087213950,154087213950
"Treadfit Technologies Pvt Ltd",1,154087212901,154087212901
"Bundl Technologies Pvt Ltd",1,154087203296,154087203296
"Tictok Skill Games Pvt Ltd",1,154087200949,154087200949
"Vikram Hospital & Heart Care Pvt  Ltd",1,154087198984,154087198984
"Diverse Retails Pvt Ltd",1,154087198516,154087198516
"1MG Technologies Pvt Ltd",1,154087195444,154087195444
"Vijaya Diagnostic Centre Ltd",1,154087194114,154087194114
"Ask Investment Managers Ltd",1,154087187031,154087187031
"Le Travenues Technology Ltd",1,154087180783,154087180783
"Aragen Life Sciences Pvt Ltd",1,154087178177,154087178177
"SB Energy Holdings Ltd",1,154087174527,154087174527
"Aptus Value Housing Finance India Ltd",1,154087172506,154087172506
"Sunsource Energy Pvt Ltd",1,154087164829,154087164829
"Pharmarack Technologies Pvt Ltd",1,154087131755,154087131755
"Chemplast Sanmar Ltd",1,154087128355,154087128355
"Corona Remedies Pvt Ltd",1,154087128226,154087128226
"Krsnaa Diagnostics Ltd",1,154087126844,154087126844
"Ola Electric Mobility Pvt Ltd",1,154087121695,154087121695
"Valuefirst Digital Media Pvt Ltd",1,154087115689,154087115689
"Rakyan Beverages Private Ltd",1,154087106117,154087106117
"Parksons Packaging Limited",1,154087101324,154087101324
"Modern Food Enterprises Pvt Ltd",1,154087093969,154087093969
"Avaada Energy Pvt Ltd",1,154087092937,154087092937
"Fitternity Health E-solution Pvt Ltd",1,154087092218,154087092218
"Cartrade Tech Ltd",1,154087091460,154087091460
"OSlabs Pte Ltd",1,154087043969,154087043969
"Aakash Educational Services Limited",1,154087041431,154087041431
"Good Host Spaces Pvt Ltd",1,154087039632,154087039632
"ZCL Chemicals Ltd",1,154087028251,154087028251
"Zippin Pharma Pvt Ltd",1,154086998541,154086998541
"Aadhar Housing Finance Ltd",1,154086959240,154086959240
"Delhivery Pvt Ltd",1,154086907487,154086907487
"Zomato Ltd",1,154086899862,154086899862
"Urban Ladder Home Decor Solutions Pvt Ltd",1,154086873361,154086873361
"Luxeva India Pvt Ltd",1,154086865001,154086865001
"KKR India Financial Services Limited",1,154086855600,154086855600
"Policybazaar Insurance Brokers Pvt Ltd",1,154086844188,154086844188
"Whitehat Education Technology Pvt Ltd",1,154086830987,154086830987
"Zed Lifestyle Pvt Ltd",1,154085813874,154085813874
"Aeon Learning Pvt Ltd",1,154085813329,154085813329
"Laqshya Media Pvt Ltd",1,154085772061,154085772061
"HalaPlay",1,154085769909,154085769909
"Happiest Minds Technologies Ltd",1,154085690750,154085690750
"Shapoorji Pallonji Infrastructure Capital Company Pvt Ltd",1,154085676752,154085676752
"Omniactive Health Technologies Ltd",1,154085638337,154085638337
"Maiden Marketing (India) Pvt Ltd",1,154085638229,154085638229
"Dailyninja Delivery Services Pvt Ltd",1,154085638222,154085638222
"Daawat Foods Ltd",1,154085605488,154085605488
"National Commodity and Derivatives Exchange Ltd",1,154085601907,154085601907
"Biocon Ltd",1,154085590429,154085590429
"Way2wealth Securities Pvt Ltd",1,154085590295,154085590295
"eDreams Software Innovation Pvt Ltd",1,154085559058,154085559058
"Omapal Technologies Pvt Ltd",1,154085541240,154085541240
"Relevant e-Solutions Private Ltd",1,154085541052,154085541052
"Prime Focus Technologies Ltd",1,154085540209,154085540209
"NowFloats Technologies Pvt Ltd",1,154085533158,154085533158
"Biosense Technologies Pvt Ltd",1,154085531196,154085531196
"Aspiring Minds Assessment Pvt Ltd",1,154085515188,154085515188
"Paytm E-Commerce Pvt Ltd",1,154085505560,154085505560
"Altico Capital India Ltd",1,154085504682,154085504682
"Gokaldas Intimatewear Pvt Ltd",1,154085498086,154085498086
"Utkarsh Small Finance Bank Ltd",1,154085483094,154085483094
"DFM Foods Ltd",1,154085474868,154085474868
"Cloudcherry Analytics Pvt Ltd",1,154085472335,154085472335
"Paysense Services India Pvt Ltd",1,154085462301,154085462301
"Shopsense Retail Technologies Pvt Ltd",1,154085448961,154085448961
"Absolute Sports Pvt Ltd",1,154085433637,154085433637
"FloCare Labs India Pvt Ltd",1,154085430138,154085430138
"Home First Finance Company India Ltd",1,154085400983,154085400983
"Jaypore E-Commerce Pvt Ltd",1,154085400743,154085400743
"Netmeds Marketplace Ltd",1,154085383264,154085383264
"Fincare Small Finance Bank Ltd",1,154085372860,154085372860
"Amplus Energy Solutions Pvt Ltd",1,154085361278,154085361278
"DailyRounds Inc",1,154085358456,154085358456
"Consul Consolidated Pvt Ltd",1,154085346911,154085346911
"Transerv Ltd",1,154085343419,154085343419
"Aujas Cybersecurity Limited",1,154085339727,154085339727
"Zero Effort Technologies Pvt Ltd",1,154085329162,154085329162
"Milltec Machinery Ltd",1,154085327959,154085327959
"ePoise Systems Pvt Ltd",1,154085324774,154085324774
"Grab A Grub Services Pvt Ltd",1,154085316875,154085316875
"Qwikcilver Solutions Pvt Ltd",1,154085312091,154085312091
"Guerrilla Infra Solutions Pvt Ltd",1,154085294700,154085294700
"One Mobikwik Systems Ltd",1,154085285314,154085285314
"Aasaanjobs Pvt Ltd",1,154085283159,154085283159
"Edpulse Education Technology Pvt Ltd",1,154085263371,154085263371
"Vallabhdas Kanji Ltd",1,154085240717,154085240717
"Polycab India Ltd",1,154085227013,154085227013
"LivQuik Technology (India) Pvt Ltd",1,154085207742,154085207742
"Mubble Networks Pvt Ltd",1,154085200946,154085200946
"Inventia Healthcare Pvt Ltd",1,154085199924,154085199924
"Lighthouse Learning Pvt Ltd",1,154085196399,154085196399
"Genesis Colors Ltd",1,154085189985,154085189985
"Get Driven Technologies Pvt Ltd",1,154085177258,154085177258
"Thumbworks Technologies Pvt Ltd",1,154085177238,154085177238
"Karix Mobile Pvt Ltd",1,154085175663,154085175663
"M/S Last Brands Pvt Ltd",1,154085172782,154085172782
"Ramky Enviro Engineers Ltd",1,154085170778,154085170778
"CreditAccess Grameen Ltd",1,154085163956,154085163956
"Sterling & Wilson Pvt Ltd",1,154085160195,154085160195
"Indus Software Pvt Ltd",1,154085156783,154085156783
"Allizhealth Pvt Ltd",1,154085155876,154085155876
"Muthoot Microfin Ltd",1,154085150888,154085150888
"Varroc Engineering Ltd",1,154085133149,154085133149
"IndiaMART InterMESH Ltd",1,154085131336,154085131336
"Century Metal Recycling Ltd",1,154085128408,154085128408
"Gateway Rail Freight Ltd",1,154085117081,154085117081
"Vishal Mega Mart Pvt Ltd",1,154085112049,154085112049
"Sansera Engineering Limited",1,154085108889,154085108889
"Centre for Sight Pvt Ltd",1,154085100289,154085100289
"Indiavidual Learning Ltd",1,154085085202,154085085202
"Ostro Energy Pvt Ltd",1,154085075103,154085075103
"Crystal Crop Protection",1,154085072287,154085072287
"Cremica Food Industries Ltd",1,154085069461,154085069461
"E2E Networks Ltd",1,154085066538,154085066538
"Craftsman Automation Ltd",1,154085057832,154085057832
"Micro Housing Finance Corp Ltd",1,154084993365,154084993365
"Vectus Industries Ltd",1,154084988019,154084988019
"Sterlite Power Grid Ventures Ltd",1,154084975317,154084975317
"Endurance Technologies Ltd",1,154084969739,154084969739
"TCNS Clothing Co Ltd",1,154084968807,154084968807
"Dodla Dairy Ltd",1,154084964947,154084964947
"Bikaji Foods International Ltd",1,154084964701,154084964701
"Parag Milk Foods, Ltd.",1,154084961421,154084961421
"Mankind Pharma Ltd",1,154084958786,154084958786
"Laurus Labs Ltd",1,154084958335,154084958335
"Godrej Agrovet Ltd",1,154084956739,154084956739
"Suryoday Small Finance Bank Ltd",1,154084956213,154084956213
"Seaways Group",1,154084952604,154084952604
"ICICI Lombard General Insurance Company Ltd",1,154084952004,154084952004
"Kalyan Jewellers India Ltd",1,154084951482,154084951482
"Mytrah Energy India Pvt Ltd",1,154084950493,154084950493
"Star Health and Allied Insurance Company Ltd",1,154084948406,154084948406
"Capacite Infraprojects Ltd",1,154084943994,154084943994
"Sbi Life Insurance Company Ltd",1,154084943295,154084943295
"PNB Housing Finance Ltd",1,154084941667,154084941667
"Barbeque-Nation Hospitality Ltd",1,154084941115,154084941115
"Nazara Technologies Limited",1,154084940428,154084940428
"Azure Power Rooftop Pvt Ltd",1,154084939935,154084939935
"Narayana Hrudayalaya Ltd",1,154084939660,154084939660
"Lemon Tree Hotels Ltd",1,154084939499,154084939499
"Jana Small Finance Bank Ltd",1,154084937535,154084937535
"Senco Gold Ltd",1,154084936091,154084936091
"G R Infraprojects Ltd",1,154084935709,154084935709
"Newgen Software Technologies Ltd",1,154084935398,154084935398
"Hinduja Leyland finance Ltd",1,154084934462,154084934462
"Sadbhav Infrastructure Projects Ltd",1,154084934459,154084934459
"IndoStar Capital Finance Ltd",1,154084932823,154084932823
"Prabhat Dairy Ltd",1,154084928720,154084928720
"Numero Uno Clothing Ltd",1,154084928315,154084928315
"Equitas Holdings Ltd",1,154084927084,154084927084
"Matrix Cellular (International) Services Pvt Ltd",1,154084926067,154084926067
"Consim Info Pvt Ltd",1,154084925991,154084925991
"Uniparts India Ltd",1,154084924111,154084924111
"Ind Barath Power Infra Ltd",1,154084923987,154084923987
"Healthcare Global Enterprises Ltd",1,154084923830,154084923830
"Power Mech Projects Ltd",1,154084922895,154084922895
"Ufo Moviez Ltd",1,154084922774,154084922774
"S H Kelkar And Company Ltd",1,154084922518,154084922518
"Syngene International Ltd",1,154084921514,154084921514
"Rolex Rings Ltd",1,154084921452,154084921452
"Teamlease Services Ltd",1,154084921443,154084921443
"Thyrocare Technologies Ltd",1,154084920317,154084920317
"Snapdeal Ltd",1,154084919082,154084919082
"Pennar Engineered Building Systems Ltd",1,154084917913,154084917913
"Varun Beverages Ltd",1,154084917345,154084917345
"Cafe Coffee Day",1,154084916615,154084916615
"Devyani International Ltd",1,154084916571,154084916571
"Imimobile",1,154084915907,154084915907
"Adlabs Entertainment Ltd",1,154084915373,154084915373
"Quick Heal Technologies Ltd",1,154084914436,154084914436
"Maharana Infrastructure and Professional Services Pvt Ltd",1,154084910760,154084910760
"RBL Bank Ltd",1,154084909816,154084909816
"PME Power Solutions India Ltd",1,154084902980,154084902980
"MT Educare Pvt, Ltd.",1,154084902732,154084902732
"ACB (India) Ltd",1,154084900474,154084900474
"Arch Pharmalabs Ltd",1,154084900265,154084900265
"Bscpl Infrastructure Ltd",1,154084898124,154084898124
"SSIPL Retail Ltd",1,154084896916,154084896916
"Aurangabad Electricals Ltd",1,154084895860,154084895860
"Indus Towers Ltd",1,154084892805,154084892805
"GMR Airports Ltd",1,154084887350,154084887350
"CSB Bank Ltd",1,154084880574,154084880574
"Repco Home Finance, Ltd.",1,154084880063,154084880063
"SMC Global Securities Ltd",1,154084879961,154084879961
"V-mart Retail Ltd",1,154084878459,154084878459
"Sharda Cropchem Ltd",1,154084878138,154084878138
"Nuziveedu Seeds Ltd",1,154084876695,154084876695
"Flexituff Ventures International Ltd",1,154084872345,154084872345
"Ortel Communications Ltd",1,154084868776,154084868776
"Credit Analysis & Research, Ltd.",1,154084864853,154084864853
"Vishal Retail, Ltd.",1,154084864220,154084864220
"Ramky Infrastructure, Ltd.",1,154084864087,154084864087
"Consolidated Construction Consortium Limited",1,154084864085,154084864085
"Time Technoplast, Ltd.",1,154084863689,154084863689
"K.P.R. Mill Limited",1,154084863380,154084863380
"Edelweiss Financial Services Ltd",1,154084862311,154084862311
"OnMobile Global Ltd",1,154084861143,154084861143
"Omnitech Infosolutions, Ltd.",1,154084860743,154084860743
"Lovable Lingerie Ltd",1,154084858090,154084858090
"Just Dial Ltd",1,154084856210,154084856210
"Muthoot Finance, Ltd.",1,154084855865,154084855865
"Innoventive Industries Ltd",1,154084854766,154084854766
"L&T Finance Holdings Ltd",1,154084853333,154084853333
"A2Z Maintenance & Engineering Services Pvt., Ltd.",1,154084852829,154084852829
"Amanta Healthcare Ltd",1,154084852253,154084852253
"Career Point Infosystems, Ltd.",1,154084851558,154084851558
"DB Realty, Ltd.",1,154084850699,154084850699
"Bharat Financial Inclusion Ltd",1,154084850697,154084850697
"PTC India Financial Services Ltd",1,154084847890,154084847890
"Bhushan Power & Steel Ltd",1,154084847481,154084847481
"Avestha Gengraine Technologies Pvt Ltd",1,154084846067,154084846067
"VRL Logistics Ltd",1,154084845096,154084845096
"ICOMM Tele",1,154084844917,154084844917
"PNC Infratech Ltd",1,154084844348,154084844348
"Gujarat Pipavav Port Ltd",1,154084844296,154084844296
"KSK Energy Ventures, Ltd.",1,154084838356,154084838356
"Spandana Sphoorty Financial, Ltd.",1,154084836852,154084836852
"Entertainment World Developers Ltd",1,154084835394,154084835394
"MakeMyTrip (India) Pvt Ltd",1,154084834574,154084834574
"Infinite Computer Solutions (India), Ltd.",1,154084831416,154084831416
"Kolte-Patil Developers Ltd",1,154084831347,154084831347
"Tecpro Systems Ltd",1,154084829271,154084829271
"Ashoka Buildcon, Ltd.",1,154084827785,154084827785
"Orient Green Power, Ltd.",1,154084826115,154084826115
"Persistent Systems Ltd",1,154084825771,154084825771
"Zylog Systems, Ltd.",1,154084824664,154084824664
"International Tractors Ltd",1,154084821206,154084821206
"IL&FS Transportation Networks, Ltd.",1,154084818061,154084818061
"Adani Power, Ltd.",1,154084816865,154084816865
"20 Microns, Ltd.",1,154084816687,154084816687
"BGR Energy Systems, Ltd.",1,154084816339,154084816339
"Resurgere Mines & Minerals India, Ltd.",1,154084815650,154084815650
"GSS Infotech Ltd",1,154084815574,154084815574
"Titagarh Wagons, Ltd.",1,154084813533,154084813533
"Pipavav Shipyard, Ltd.",1,154084812292,154084812292
"RattanIndia Power Ltd",1,154084810787,154084810787
"Speciality Restaurants Pvt., Ltd.",1,154084810237,154084810237
"Powerica Ltd",1,154084810006,154084810006
"Share Microfin Ltd",1,154084809917,154084809917
"TD Power Systems Ltd",1,154084809596,154084809596
"Man Infraconstruction Pvt., Ltd.",1,154084808948,154084808948
"DEN Networks Ltd",1,154084808672,154084808672
"DB Corp, Ltd.",1,154084806166,154084806166
"DQ Entertainment International Ltd",1,154084804679,154084804679
"Parabolic Drugs, Ltd.",1,154084804217,154084804217
"Tree House Education and Accessories Ltd",1,154084803927,154084803927
"Suzlon Energy, Ltd.",1,154084787192,154084787192
"Yes Bank Ltd",1,154084785308,154084785308
"Manpasand Beverages Ltd",1,154084783335,154084783335
"Compulink Systems Pvt Ltd.",1,154084779301,154084779301
"Bartronics India Limited",1,154084778971,154084778971
"Royal Orchid Hotels",1,154084778221,154084778221
"Gujarat State Petronet Ltd",1,154084778134,154084778134
"Celebrity Fashions Pvt. Ltd.",1,154084777911,154084777911
"Educomp Solutions Ltd",1,154084777909,154084777909
"GMR Infrastructure Ltd",1,154084775750,154084775750
"Spice Communications Ltd",1,154084775694,154084775694
"Info Edge (India) Ltd",1,154084775137,154084775137
"IBN18 Broadcast, Ltd.",1,154084774942,154084774942
"Motilal Oswal Financial Services, Ltd.",1,154084774287,154084774287
"Lokesh Machines, Ltd.",1,154084773841,154084773841
"WNS (Holdings) Ltd",1,154084773422,154084773422
"Redington (India) Ltd",1,154084760207,154084760207
"Firstsource Solutions Ltd",1,154084760146,154084760146
"Accel Frontline, Ltd.",1,154084759084,154084759084
"Idea Cellular, Ltd.",1,154084749608,154084749608
"Jyothy Labs Ltd",1,154084748626,154084748626
"Mudra Lifestyle, Ltd.",1,154084747878,154084747878
"Sasken Communication Technologies, Ltd.",1,154084738094,154084738094
"Punj Lloyd Ltd",1,154084737579,154084737579
"Deccan Charters",1,154084737578,154084737578
"Fame India Ltd",1,154084736893,154084736893
"HSBC Investdirect (India) Ltd",1,154084736659,154084736659
"HT Media Ltd.",1,154084736658,154084736658
"ABG Shipyard Ltd",1,154084736621,154084736621
"Nectar Lifesciences Ltd",1,154084736425,154084736425
"Multi Commodity Exchange of India Ltd",1,154084735465,154084735465
"Allsec Technologies Ltd",1,154084735320,154084735320
"UTV Software Communications Pvt Ltd",1,154084733971,154084733971
"Gateway Distriparks Ltd",1,154084733301,154084733301
"Shoppers Stop Ltd.",1,154084731471,154084731471
"Shriram EPC, Ltd.",1,154084672605,154084672605
"Monte Carlo Fashions Ltd",1,154084667787,154084667787
"S-Cube Futuretech Pvt Ltd",1,154083684226,154083684226
"Capital First Ltd",1,154083679307,154083679307
"Creo",1,154083287993,154083287993
"Sokrati",1,154083280708,154083280708
"Itzcash Card Ltd",1,154083249764,154083249764
"Wah Holidays Pvt Ltd",1,154083229628,154083229628
"Manipal Health Enterprises Pvt Ltd",1,154083213516,154083213516
"Mcarbon Tech Innovation Pvt Ltd",1,154083201597,154083201597
"Peoplestrong Technologies Pvt Ltd",1,154083198529,154083198529
"Techprocess Solutions Ltd",1,154083194927,154083194927
"PipeMonk",1,154083185865,154083185865
